"Name","Status","CapacityGB","FreeGB","PercentFree"
"icd-002-5436-n-011","mystack-warn","2047.75","480.61","23.47"
"icd-002-3472-n-033","mystack-normal","10239.75","2,616.32","25.55"
"icd-002-3472-n-028","mystack-normal","10239.75","2,641.69","25.80"
"icd-002-3472-n-031","mystack-normal","10239.75","2,702.19","26.39"
"icd-002-3472-n-032","mystack-normal","10239.75","2,749.97","26.86"
"icd-002-3472-n-029","mystack-normal","10239.75","2,785.17","27.20"
"icd-002-5436-n-002","mystack-warn","2047.75","557.97","27.25"
"icd-002-3472-n-034","mystack-normal","10239.75","2,805.80","27.40"
"icd-002-5436-n-015","mystack-warn","2047.75","561.95","27.44"
"icd-002-5436-n-016","mystack-warn","2047.75","563.35","27.51"
"icd-002-5436-n-013","mystack-warn","2047.75","566.16","27.65"
"icd-002-3472-n-030","mystack-normal","10239.75","2,839.28","27.73"
"icd-002-5436-n-021","mystack-warn","2047.75","570.71","27.87"
"icd-002-5436-n-001","mystack-warn","2047.75","571.69","27.92"
"icd-002-5436-n-020","mystack-warn","2047.75","572.12","27.94"
"icd-002-5436-n-010","mystack-warn","2047.75","572.89","27.98"
"icd-002-3472-n-027","mystack-normal","10239.75","2,902.22","28.34"
"icd-002-5436-n-022","mystack-warn","2047.75","584.41","28.54"
"icd-002-5436-n-018","mystack-warn","2047.75","584.74","28.56"
"icd-002-5436-n-000","mystack-warn","2047.75","586.59","28.65"
"icd-002-5436-n-023","mystack-warn","2047.75","592.19","28.92"
"icd-002-5436-n-003","mystack-warn","2047.75","597.28","29.17"
"icd-002-5436-n-008","mystack-warn","2047.75","597.31","29.17"
"icd-002-5436-n-009","mystack-warn","2047.75","602.82","29.44"
"icd-002-5436-n-014","mystack-warn","2047.75","603.30","29.46"
"icd-002-5436-n-004","mystack-warn","2047.75","608.00","29.69"
"icd-002-5436-n-007","mystack-warn","2047.75","609.05","29.74"
"icd-002-5436-n-012","mystack-warn","2047.75","609.76","29.78"
"icd-002-5436-n-017","mystack-warn","2047.75","611.60","29.87"
"icd-002-5436-n-005","mystack-warn","2047.75","613.90","29.98"
"icd-002-5436-n-006","mystack-warn","2047.75","614.17","29.99"
"icd-002-5436-n-019","mystack-normal","2047.75","614.79","30.02"
