"Name","VMHost","MemoryGB","NumCpu","PowerState","myStatus"
"icdupds9dsva11","icdupvcdesx011m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"icdupds9dsva12","icdupvcdesx012m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"icdupds9dsva13","icdupvcdesx013m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"icdupds9dsva14","icdupvcdesx014m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"icdupds9dsva15","icdupvcdesx015m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"icdupds9dsva16","icdupvcdesx016m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"icdupds9dsva17","icdupvcdesx017m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"icdupds9dsva18","icdupvcdesx018m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"icdupds9dsva19","icdupvcdesx019m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"icdupds9dsva20","icdupvcdesx020m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"icdupds9dsva21","icdupvcdesx021m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
