"HostName","Status","ConnectionState","Max_Mem_%","Ave_Mem_%","Max_CPU_%","Ave_CPU_%"
"icdupvcdesx011m.dcsutil.dcsroot.local","mystack-warn","Connected","80.41","79.48","28.54","18.88"
"icdupvcdesx012m.dcsutil.dcsroot.local","mystack-alarm","Connected","84.72","83.96","28.37","16.97"
"icdupvcdesx013m.dcsutil.dcsroot.local","mystack-warn","Connected","72.14","69.96","29.88","20.25"
"icdupvcdesx014m.dcsutil.dcsroot.local","mystack-alarm","Connected","83.94","83.34","26.38","21.60"
"icdupvcdesx015m.dcsutil.dcsroot.local","mystack-alarm","Connected","89.36","88.07","28.12","21.49"
"icdupvcdesx016m.dcsutil.dcsroot.local","mystack-warn","Connected","70.24","69.63","27.90","24.60"
"icdupvcdesx017m.dcsutil.dcsroot.local","mystack-alarm","Connected","85.14","83.90","26.40","19.03"
"icdupvcdesx018m.dcsutil.dcsroot.local","mystack-warn","Connected","71.05","70.91","47.95","30.01"
"icdupvcdesx019m.dcsutil.dcsroot.local","mystack-alarm","Connected","90.08","89.73","32.03","27.37"
"icdupvcdesx020m.dcsutil.dcsroot.local","mystack-alarm","Connected","84.47","84.33","28.12","19.61"
"icdupvcdesx021m.dcsutil.dcsroot.local","mystack-alarm","Connected","95.97","95.00","22.96","16.14"
