"Name","Status","CapacityGB","FreeGB","PercentFree"
"lo3-002-0153-n-009","mystack-normal","10239.75","1,388.68","13.56"
"lo3-002-0153-n-005","mystack-normal","10239.75","1,418.95","13.86"
"lo3-002-0153-n-007","mystack-normal","10239.75","1,511.91","14.77"
"lo3-002-0153-n-004","mystack-normal","10239.75","1,519.17","14.84"
"lo3-002-0153-n-003","mystack-normal","10239.75","1,539.41","15.03"
"lo3-002-0153-n-006","mystack-normal","10239.75","1,550.53","15.14"
"lo3-002-0153-n-001","mystack-normal","10239.75","1,657.65","16.19"
"lo3-002-0153-n-002","mystack-normal","10239.75","1,670.64","16.32"
"lo3-002-0153-n-000","mystack-normal","10239.75","1,745.64","17.05"
"lo3-002-0153-n-008","mystack-normal","10239.75","1,775.15","17.34"
