"Name","VMHost","MemoryGB","NumCpu","PowerState","myStatus"
"NJ2UPDS9DSVA11","nj2upvcdesx011m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"NJ2UPDS9DSVA12","nj2upvcdesx012m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"NJ2UPDS9DSVA13","nj2upvcdesx013m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"NJ2UPDS9DSVA14","nj2upvcdesx014m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"NJ2UPDS9DSVA15","nj2upvcdesx015m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"NJ2UPDS9DSVA16","nj2upvcdesx016m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"nj2upds9dsva17","nj2upvcdesx017m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"nj2upds9dsva18","nj2upvcdesx018m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"nj2upds9dsva19","nj2upvcdesx019m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
"nj2upds9dsva20","nj2upvcdesx020m.dcsutil.dcsroot.local","8","4","PoweredOn","mystack-normal"
