"HostName","Status","ConnectionState","Max_Mem_%","Ave_Mem_%","Max_CPU_%","Ave_CPU_%"
"nj2upvcdesx011m.dcsutil.dcsroot.local","mystack-warn","Connected","67.96","66.53","50.55","44.70"
"nj2upvcdesx012m.dcsutil.dcsroot.local","mystack-warn","Connected","62.49","60.01","56.98","46.89"
"nj2upvcdesx013m.dcsutil.dcsroot.local","mystack-warn","Connected","77.31","77.13","50.24","41.79"
"nj2upvcdesx014m.dcsutil.dcsroot.local","mystack-warn","Connected","74.51","73.80","55.02","50.12"
"nj2upvcdesx015m.dcsutil.dcsroot.local","mystack-warn","Connected","77.28","75.63","55.63","45.96"
"nj2upvcdesx016m.dcsutil.dcsroot.local","mystack-normal","Connected","60.33","58.70","56.48","53.46"
"nj2upvcdesx017m.dcsutil.dcsroot.local","mystack-alarm","Connected","84.69","83.72","60.30","46.14"
"nj2upvcdesx018m.dcsutil.dcsroot.local","mystack-warn","Connected","81.61","79.49","57.58","47.16"
"nj2upvcdesx019m.dcsutil.dcsroot.local","mystack-warn","Connected","67.96","66.59","54.92","45.77"
"nj2upvcdesx020m.dcsutil.dcsroot.local","mystack-warn","Connected","73.09","68.93","47.95","40.99"
