#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.Host.Networking.Nic.PhysicalNicImpl
"VMHost","Name","IP","SubnetMask","Mac","PortGroupName","vMotionEnabled","mtu","FullDuplex","BitRatePerSec"
"icdupvcdesx014m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:02:a0:b2",,,,"True","40000"
"icdupvcdesx014m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:02:b0:92",,,,"True","40000"
"icdupvcdesx014m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:02:a0:d2",,,,"True","40000"
"icdupvcdesx014m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:02:b0:b2",,,,"True","40000"
"icdupvcdesx014m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:02:a0:a2",,,,"True","40000"
"icdupvcdesx014m.dcsutil.dcsroot.local","vmnic5","","","00:25:b5:02:b0:82",,,,"True","40000"
"icdupvcdesx014m.dcsutil.dcsroot.local","vmnic6","","","00:25:b5:02:a0:a3",,,,"True","40000"
"icdupvcdesx014m.dcsutil.dcsroot.local","vmnic7","","","00:25:b5:02:b0:83",,,,"True","40000"
"icdupvcdesx014m.dcsutil.dcsroot.local","vmnic8","","","00:25:b5:02:a0:c2",,,,"True","40000"
"icdupvcdesx014m.dcsutil.dcsroot.local","vmk0","10.25.200.114","255.255.255.0","00:25:b5:02:a0:b2","Management Network","False","1500",,
"icdupvcdesx014m.dcsutil.dcsroot.local","vmk2","172.20.63.114","255.255.255.0","00:50:56:66:7c:fa","dvPortGroup-vMotion","True","1500",,
"icdupvcdesx014m.dcsutil.dcsroot.local","vmk3","172.20.64.114","255.255.255.0","00:50:56:64:a4:d9","dvPortGroup-Fault-Tollerance","False","1500",,
"icdupvcdesx014m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:6a:d3:69","vmservice-vmknic-pg","False","1500",,
"icdupvcdesx014m.dcsutil.dcsroot.local","vmk4","172.20.113.114","255.255.255.0","00:50:56:65:5b:d4","vxw-vmknicPg-dvs-55-0-d6261319-fbda-42c3-a4e4-72d3dc528b18","False","9000",,
"icdupvcdesx015m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:02:a0:e1",,,,"True","40000"
"icdupvcdesx015m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:02:b0:c1",,,,"True","40000"
"icdupvcdesx015m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:02:a0:81",,,,"True","40000"
"icdupvcdesx015m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:02:b0:e1",,,,"True","40000"
"icdupvcdesx015m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:02:a0:d1",,,,"True","40000"
"icdupvcdesx015m.dcsutil.dcsroot.local","vmnic5","","","00:25:b5:02:b0:b1",,,,"True","40000"
