#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.Host.Networking.Nic.PhysicalNicImpl
"VMHost","Name","IP","SubnetMask","Mac","PortGroupName","vMotionEnabled","mtu","FullDuplex","BitRatePerSec"
"lo3upvcdesx016m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:16:a0:03",,,,"True","40000"
"lo3upvcdesx016m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:16:b0:e4",,,,"True","40000"
"lo3upvcdesx016m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:16:a0:f2",,,,"True","40000"
"lo3upvcdesx016m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:16:b0:d4",,,,"True","40000"
"lo3upvcdesx016m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:16:a0:d2",,,,"True","40000"
"lo3upvcdesx016m.dcsutil.dcsroot.local","vmnic5","","","00:25:b5:16:b0:b4",,,,"True","40000"
"lo3upvcdesx016m.dcsutil.dcsroot.local","vmnic6","","","00:25:b5:16:a0:b6",,,,"True","40000"
"lo3upvcdesx016m.dcsutil.dcsroot.local","vmnic7","","","00:25:b5:16:b0:f4",,,,"True","40000"
"lo3upvcdesx016m.dcsutil.dcsroot.local","vmnic8","","","00:25:b5:16:a0:e2",,,,"True","40000"
"lo3upvcdesx016m.dcsutil.dcsroot.local","vmk0","10.162.68.116","255.255.255.0","00:25:b5:16:a0:03","Management Network","False","1500",,
"lo3upvcdesx016m.dcsutil.dcsroot.local","vmk2","172.20.87.116","255.255.255.0","00:50:56:6a:ba:b9","dvPortGroup-vMotion","True","1500",,
"lo3upvcdesx016m.dcsutil.dcsroot.local","vmk3","172.20.88.116","255.255.255.0","00:50:56:6b:01:9c","dvPortGroup-Fault-Tolerance","False","1500",,
"lo3upvcdesx016m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:66:e2:0f","vmservice-vmknic-pg","False","1500",,
"lo3upvcdesx016m.dcsutil.dcsroot.local","vmk4","172.20.115.116","255.255.255.0","00:50:56:69:54:d9","vxw-vmknicPg-dvs-27-0-d344ca2c-de36-405d-b5c6-96b21b54e88b","False","9000",,
"lo3upvcdesx017m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:16:a0:b2",,,,"True","40000"
"lo3upvcdesx017m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:16:b0:93",,,,"True","40000"
"lo3upvcdesx017m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:16:a0:a2",,,,"True","40000"
"lo3upvcdesx017m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:16:b0:83",,,,"True","40000"
"lo3upvcdesx017m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:16:a0:82",,,,"True","40000"
"lo3upvcdesx017m.dcsutil.dcsroot.local","vmnic5","","","00:25:b5:16:b0:63",,,,"True","40000"
"lo3upvcdesx017m.dcsutil.dcsroot.local","vmnic6","","","00:25:b5:16:a0:c2",,,,"True","40000"
"lo3upvcdesx017m.dcsutil.dcsroot.local","vmnic7","","","00:25:b5:16:b0:a4",,,,"True","40000"
"lo3upvcdesx017m.dcsutil.dcsroot.local","vmnic8","","","00:25:b5:16:a0:92",,,,"True","40000"
"lo3upvcdesx017m.dcsutil.dcsroot.local","vmk0","10.162.68.117","255.255.255.0","00:25:b5:16:a0:b2","Management Network","False","1500",,
"lo3upvcdesx017m.dcsutil.dcsroot.local","vmk2","172.20.87.117","255.255.255.0","00:50:56:60:75:77","dvPortGroup-vMotion","True","1500",,
"lo3upvcdesx017m.dcsutil.dcsroot.local","vmk3","172.20.88.117","255.255.255.0","00:50:56:60:0e:3e","dvPortGroup-Fault-Tolerance","False","1500",,
"lo3upvcdesx017m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:6b:91:80","vmservice-vmknic-pg","False","1500",,
"lo3upvcdesx017m.dcsutil.dcsroot.local","vmk4","172.20.115.117","255.255.255.0","00:50:56:62:f1:05","vxw-vmknicPg-dvs-27-0-d344ca2c-de36-405d-b5c6-96b21b54e88b","False","9000",,
"lo3upvcdesx019m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:16:a0:e8",,,,"True","40000"
"lo3upvcdesx019m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:16:b0:bb",,,,"True","40000"
"lo3upvcdesx019m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:16:a0:d8",,,,"True","40000"
"lo3upvcdesx019m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:16:b0:cb",,,,"True","40000"
"lo3upvcdesx019m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:16:a0:42",,,,"True","40000"
"lo3upvcdesx019m.dcsutil.dcsroot.local","vmnic5","","","00:25:b5:16:b0:53",,,,"True","40000"
"lo3upvcdesx019m.dcsutil.dcsroot.local","vmnic6","","","00:25:b5:16:a0:cb",,,,"True","40000"
"lo3upvcdesx019m.dcsutil.dcsroot.local","vmnic7","","","00:25:b5:16:b0:eb",,,,"True","40000"
"lo3upvcdesx019m.dcsutil.dcsroot.local","vmnic8","","","00:25:b5:16:a0:52",,,,"True","40000"
"lo3upvcdesx019m.dcsutil.dcsroot.local","vmk0","10.162.68.119","255.255.255.0","00:25:b5:16:a0:e8","Management Network","False","1500",,
"lo3upvcdesx019m.dcsutil.dcsroot.local","vmk2","172.20.87.119","255.255.255.0","00:50:56:60:e1:78","dvPortGroup-vMotion","True","1500",,
"lo3upvcdesx019m.dcsutil.dcsroot.local","vmk3","172.80.88.19","255.255.255.0","00:50:56:66:3e:f3","dvPortGroup-Fault-Tolerance","False","1500",,
"lo3upvcdesx019m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:64:f0:64","vmservice-vmknic-pg","False","1500",,
"lo3upvcdesx019m.dcsutil.dcsroot.local","vmk4","172.20.115.119","255.255.255.0","00:50:56:6e:c8:ae","vxw-vmknicPg-dvs-27-0-d344ca2c-de36-405d-b5c6-96b21b54e88b","False","9000",,
"lo3upvcdesx018m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:16:a0:3d",,,,"True","40000"
"lo3upvcdesx018m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:16:b0:3d",,,,"True","40000"
"lo3upvcdesx018m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:16:a0:1d",,,,"True","40000"
"lo3upvcdesx018m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:16:b0:1d",,,,"True","40000"
"lo3upvcdesx018m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:16:a0:bb",,,,"True","40000"
"lo3upvcdesx018m.dcsutil.dcsroot.local","vmnic5","","","00:25:b5:16:b0:db",,,,"True","40000"
"lo3upvcdesx018m.dcsutil.dcsroot.local","vmnic6","","","00:25:b5:16:a0:2d",,,,"True","40000"
"lo3upvcdesx018m.dcsutil.dcsroot.local","vmnic7","","","00:25:b5:16:b0:2d",,,,"True","40000"
"lo3upvcdesx018m.dcsutil.dcsroot.local","vmnic8","","","00:25:b5:16:a0:4c",,,,"True","40000"
"lo3upvcdesx018m.dcsutil.dcsroot.local","vmk0","10.162.68.118","255.255.255.0","00:25:b5:16:a0:3d","Management Network","False","1500",,
"lo3upvcdesx018m.dcsutil.dcsroot.local","vmk2","172.20.87.118","255.255.255.0","00:50:56:66:79:7f","dvPortGroup-vMotion","True","1500",,
"lo3upvcdesx018m.dcsutil.dcsroot.local","vmk3","172.20.88.118","255.255.255.0","00:50:56:60:16:c9","dvPortGroup-Fault-Tolerance","False","1500",,
"lo3upvcdesx018m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:65:22:87","vmservice-vmknic-pg","False","1500",,
"lo3upvcdesx018m.dcsutil.dcsroot.local","vmk4","172.20.115.118","255.255.255.0","00:50:56:6d:42:d2","vxw-vmknicPg-dvs-27-0-d344ca2c-de36-405d-b5c6-96b21b54e88b","False","9000",,
"lo3upvcdesx011m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:16:a0:df",,,,"True","40000"
"lo3upvcdesx011m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:16:b0:9f",,,,"True","40000"
"lo3upvcdesx011m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:16:a0:ef",,,,"True","40000"
"lo3upvcdesx011m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:16:b0:ff",,,,"True","40000"
