#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.Host.Networking.Nic.PhysicalNicImpl
"VMHost","Name","IP","SubnetMask","Mac","PortGroupName","vMotionEnabled","mtu","FullDuplex","BitRatePerSec"
"nj2upvcdesx011m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:05:a0:cb",,,,"True","10000"
"nj2upvcdesx011m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:05:b0:fb",,,,"True","10000"
"nj2upvcdesx011m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:05:a0:ab",,,,"True","10000"
"nj2upvcdesx011m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:05:b0:db",,,,"True","10000"
"nj2upvcdesx011m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:05:a0:8b",,,,"True","10000"
"nj2upvcdesx011m.dcsutil.dcsroot.local","vmnic5","","","00:25:b5:05:b0:eb",,,,"True","10000"
"nj2upvcdesx011m.dcsutil.dcsroot.local","vmnic6","","","00:25:b5:05:a0:eb",,,,"True","10000"
"nj2upvcdesx011m.dcsutil.dcsroot.local","vmnic7","","","00:25:b5:05:b0:8b",,,,"True","10000"
"nj2upvcdesx011m.dcsutil.dcsroot.local","vmnic8","","","00:25:b5:05:a0:bb",,,,"True","10000"
"nj2upvcdesx011m.dcsutil.dcsroot.local","vmk0","10.160.19.52","255.255.255.0","00:25:b5:05:a0:cb","Management Network","False","1500",,
"nj2upvcdesx011m.dcsutil.dcsroot.local","vmk2","172.20.66.105","255.255.255.0","00:50:56:6e:7d:cb","dvPortGroup-vMotion","True","1500",,
"nj2upvcdesx011m.dcsutil.dcsroot.local","vmk3","172.20.67.51","255.255.255.0","00:50:56:6d:fc:6b","dvPortGroup-Fault-Tolerance","False","1500",,
"nj2upvcdesx011m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:67:82:f9","vmservice-vmknic-pg","False","1500",,
"nj2upvcdesx011m.dcsutil.dcsroot.local","vmk4","172.20.99.30","255.255.255.0","00:50:56:63:ec:1e","vxw-vmknicPg-dvs-49-0-a2d5920e-ae32-45ca-b11b-25e42383b38e","False","9000",,
"nj2upvcdesx017m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:05:a1:cb",,,,"True","40000"
"nj2upvcdesx017m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:05:b1:8b",,,,"True","40000"
"nj2upvcdesx017m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:05:a1:ab",,,,"True","40000"
"nj2upvcdesx017m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:05:b1:9b",,,,"True","40000"
"nj2upvcdesx017m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:05:a1:8a",,,,"True","40000"
"nj2upvcdesx017m.dcsutil.dcsroot.local","vmnic5","","","00:25:b5:05:b1:fa",,,,"True","40000"
"nj2upvcdesx017m.dcsutil.dcsroot.local","vmnic6","","","00:25:b5:05:a1:eb",,,,"True","40000"
"nj2upvcdesx017m.dcsutil.dcsroot.local","vmnic7","","","00:25:b5:05:b1:cb",,,,"True","40000"
"nj2upvcdesx017m.dcsutil.dcsroot.local","vmnic8","","","00:25:b5:05:a1:bb",,,,"True","40000"
"nj2upvcdesx017m.dcsutil.dcsroot.local","vmk0","10.160.19.64","255.255.255.0","00:25:b5:05:a1:cb","Management Network","False","1500",,
"nj2upvcdesx017m.dcsutil.dcsroot.local","vmk2","172.20.66.111","255.255.255.0","00:50:56:67:29:95","dvPortGroup-vMotion","True","1500",,
"nj2upvcdesx017m.dcsutil.dcsroot.local","vmk3","172.20.67.57","255.255.255.0","00:50:56:64:d6:ca","dvPortGroup-Fault-Tolerance","False","1500",,
"nj2upvcdesx017m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:65:43:db","vmservice-vmknic-pg","False","1500",,
"nj2upvcdesx017m.dcsutil.dcsroot.local","vmk4","172.20.99.36","255.255.255.0","00:50:56:65:98:6d","vxw-vmknicPg-dvs-49-0-a2d5920e-ae32-45ca-b11b-25e42383b38e","False","9000",,
"nj2upvcdesx018m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:05:a1:da",,,,"True","10000"
"nj2upvcdesx018m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:05:b1:ba",,,,"True","10000"
"nj2upvcdesx018m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:05:a1:ea",,,,"True","10000"
