#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.Host.Networking.Nic.PhysicalNicImpl
"VMHost","Name","IP","SubnetMask","Mac","PortGroupName","vMotionEnabled","mtu","FullDuplex","BitRatePerSec"
"lo1upvcdesx016m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:14:a0:22",,,,"True","40000"
"lo1upvcdesx016m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:14:b0:03",,,,"True","40000"
"lo1upvcdesx016m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:14:a0:12",,,,"True","40000"
"lo1upvcdesx016m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:14:b0:f3",,,,"True","40000"
"lo1upvcdesx016m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:14:a0:f1",,,,"True","40000"
"lo1upvcdesx016m.dcsutil.dcsroot.local","vmnic5","","","00:25:b5:14:b0:d3",,,,"True","40000"
"lo1upvcdesx016m.dcsutil.dcsroot.local","vmnic6","","","00:25:b5:14:a0:32",,,,"True","40000"
"lo1upvcdesx016m.dcsutil.dcsroot.local","vmnic7","","","00:25:b5:14:b0:13",,,,"True","40000"
"lo1upvcdesx016m.dcsutil.dcsroot.local","vmnic8","","","00:25:b5:14:a0:02",,,,"True","40000"
"lo1upvcdesx016m.dcsutil.dcsroot.local","vmk0","10.162.36.116","255.255.255.0","00:25:b5:14:a0:22","Management Network","False","1500",,
"lo1upvcdesx016m.dcsutil.dcsroot.local","vmk2","172.20.84.116","255.255.255.0","00:50:56:62:20:97","dvPortGroup-vMotion","True","1500",,
"lo1upvcdesx016m.dcsutil.dcsroot.local","vmk3","172.20.85.116","255.255.255.0","00:50:56:63:af:b9","dvPortGroup-Fault-Tolerance","False","1500",,
"lo1upvcdesx016m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:65:86:5b","vmservice-vmknic-pg","False","1500",,
"lo1upvcdesx016m.dcsutil.dcsroot.local","vmk4","172.20.114.116","255.255.255.0","00:50:56:6e:05:4f","vxw-vmknicPg-dvs-56-0-f120948f-8a58-4d6d-83a9-478c4418a3d9","False","9000",,
